Year,Month,Date,Primary Type,Description,Location Description,Arrest,Community Area,Latitude,Longitude
2016,1,2016-01-25 10:00:00,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,16,,
2016,1,2016-01-01 00:01:00,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,APARTMENT,True,16,,
2016,1,2016-01-15 14:05:00,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,16,41.959835996,-87.717999724
2016,1,2016-01-01 05:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,16,41.964111923000004,-87.7357475
2016,1,2016-01-01 05:02:00,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,False,16,41.960956851999995,-87.726996938
2016,1,2016-01-01 13:10:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,16,41.950942506,-87.70793539600001
2016,1,2016-01-01 11:34:00,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,False,16,41.952808979000004,-87.71408592200001
2016,1,2016-01-01 12:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,16,41.94018466,-87.73460733299999
2016,1,2016-01-02 16:40:00,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,16,41.957899913,-87.71671317100001
2016,1,2016-01-02 21:15:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,16,41.95025958,-87.709519126
2016,1,2016-01-03 08:30:00,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,16,41.95617889,-87.740604692
2016,1,2016-01-03 13:00:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,16,41.961019184,-87.72219085100001
2016,1,2016-01-01 00:01:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,16,41.960026932,-87.71065923299999
2016,1,2016-01-04 00:10:00,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,16,41.952902857,-87.703096642
2016,1,2016-01-01 08:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,16,41.959338541,-87.711746867
2016,1,2016-01-04 14:30:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,16,41.944847801,-87.73474382
2016,1,2016-01-04 14:15:00,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,False,16,41.953933464,-87.705880499
2016,1,2016-01-04 00:00:00,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,True,16,41.958111724,-87.72039505299999
2016,1,2016-01-04 12:00:00,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,16,41.949110485,-87.715235563
2016,1,2016-01-05 09:35:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,16,41.957794792,-87.732600568
2016,1,2016-01-05 13:00:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",True,16,41.946542477,-87.73608437600001
2016,1,2016-01-05 13:12:00,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,16,41.946542477,-87.73608437600001
2016,1,2016-01-05 12:30:00,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,False,16,41.952670132,-87.721458162
2016,1,2016-01-05 18:18:00,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,16,41.964960396,-87.74274051299999
2016,1,2016-01-05 10:00:00,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,16,41.960008269,-87.720450411
2016,1,2016-01-05 22:48:00,ROBBERY,ARMED: HANDGUN,CONVENIENCE STORE,False,16,41.961016635,-87.722227643
2016,1,2016-01-05 22:00:00,BURGLARY,FORCIBLE ENTRY,OTHER,False,16,41.961019184,-87.72219085100001
2016,1,2016-01-06 11:35:00,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",True,16,41.946542477,-87.73608437600001
2016,1,2016-01-06 11:25:00,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,16,41.946542477,-87.73608437600001
2016,1,2016-01-06 15:13:00,SEX OFFENSE,PUBLIC INDECENCY,RESIDENCE PORCH/HALLWAY,False,16,41.940245479,-87.732066962
2016,1,2016-01-05 20:00:00,CRIMINAL DAMAGE,TO PROPERTY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,False,16,41.958357026,-87.72162435799999
2016,1,2016-01-06 19:51:00,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,16,41.947401686,-87.716413672
2016,1,2016-01-07 01:00:00,THEFT,OVER $500,STREET,False,16,41.950948691,-87.711600465
2016,1,2016-01-05 19:00:00,THEFT,OVER $500,STREET,False,16,41.957454344,-87.716015249
2016,1,2016-01-07 02:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,16,41.940218038000005,-87.73206722
2016,1,2016-01-07 01:00:00,BURGLARY,FORCIBLE ENTRY,RESTAURANT,False,16,41.94752074,-87.72743305700001
2016,1,2016-01-07 10:20:00,THEFT,FROM BUILDING,APARTMENT,False,16,41.950851521,-87.710380926
2016,1,2016-01-07 12:08:00,BATTERY,SIMPLE,STREET,True,16,41.96806268,-87.744601911
