Year,Month,Date,Primary Type,Description,Location Description,Arrest,Community Area,Latitude,Longitude
2005,1,2005-01-02 21:30:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2,41.996419321,-87.695938989
2005,1,2005-01-02 12:08:05,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2,41.994420633000004,-87.70925728200001
2005,1,2005-01-01 12:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2,41.99469867,-87.691008342
2005,1,2005-01-02 20:15:00,THEFT,$500 AND UNDER,STREET,False,2,42.015641927,-87.68800461100001
2005,1,2005-01-03 03:30:00,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,2,42.004866329,-87.698982052
2005,1,2005-01-03 22:00:00,ASSAULT,SIMPLE,STREET,False,2,41.99973106,-87.705809711
2005,1,2005-01-02 12:24:00,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,OTHER,True,2,41.993149278000004,-87.692182675
2005,1,2005-01-01 03:30:00,ROBBERY,STRONGARM - NO WEAPON,ALLEY,False,2,42.002052738,-87.694878373
2005,1,2005-01-02 23:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,2,41.994717899,-87.69101182799999
2005,1,2005-01-03 06:45:00,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,2,42.010593197,-87.694976953
2005,1,2005-01-03 10:00:00,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,2,41.992639626999996,-87.68111534100001
2005,1,2005-01-02 22:30:00,THEFT,FROM BUILDING,APARTMENT,False,2,41.999532056999996,-87.690672777
2005,1,2005-01-02 18:00:00,THEFT,$500 AND UNDER,OTHER,False,2,41.996606229,-87.691070093
2005,1,2005-01-02 01:00:00,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,OTHER,False,2,42.000015043000005,-87.691164579
2005,1,2005-01-03 05:20:00,ROBBERY,STRONGARM - NO WEAPON,STREET,False,2,41.994931704,-87.695891295
2005,1,2005-01-03 15:00:00,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",False,2,41.987362911999995,-87.70229340200001
2005,1,2005-01-04 19:00:00,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,2,41.996538341,-87.70809984899999
2005,1,2005-01-04 16:20:33,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2,41.999311603,-87.703878709
2005,1,2005-01-04 19:35:19,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,2,42.00488935,-87.69768672299999
2005,1,2005-01-03 09:23:00,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,2,42.002225812,-87.680277948
2005,1,2005-01-04 15:23:26,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,2,41.988607682,-87.693666475
2005,1,2005-01-02 19:00:00,THEFT,$500 AND UNDER,STREET,False,2,42.003574794,-87.681522434
2005,1,2005-01-05 11:00:00,THEFT,FROM BUILDING,SMALL RETAIL STORE,False,2,42.018848365,-87.690180231
2005,1,2005-01-04 19:20:00,THEFT,$500 AND UNDER,STREET,False,2,42.006420601,-87.68153753700001
2005,1,2005-01-04 18:00:00,THEFT,FROM BUILDING,SMALL RETAIL STORE,False,2,41.99746538,-87.704993196
2005,1,2005-01-03 15:00:00,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,2,41.996573329,-87.68862771399999
2005,1,2005-01-05 10:30:00,ROBBERY,STRONGARM - NO WEAPON,STREET,False,2,41.998558514,-87.699673795
2005,1,2005-01-03 11:00:00,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,False,2,42.006316229,-87.686858931
2005,1,2005-01-05 21:40:44,BATTERY,SIMPLE,OTHER,True,2,41.985677271,-87.701666371
2005,1,2005-01-04 09:00:00,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,2,41.997988611,-87.703325202
2005,1,2005-01-04 04:45:00,ROBBERY,ATTEMPT: ARMED-HANDGUN,GAS STATION,False,2,42.010121964,-87.690198234
2005,1,2005-01-04 00:15:00,ROBBERY,STRONGARM - NO WEAPON,APARTMENT,False,2,41.998633198,-87.68747014200001
2005,1,2005-01-06 14:00:00,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,2,41.999441051,-87.696501144
2005,1,2005-01-06 02:17:24,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,False,2,42.008659826999995,-87.68882212
2005,1,2005-01-05 09:00:00,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,False,2,42.003983616999996,-87.693707477
2005,1,2005-01-05 14:00:00,THEFT,$500 AND UNDER,ALLEY,False,2,42.009235986,-87.681994491
2005,1,2005-01-02 17:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),False,2,42.007142825,-87.70928012799999
2005,1,2005-01-03 20:50:43,CRIMINAL TRESPASS,TO LAND,BANK,True,2,41.99765974,-87.693973145
2005,1,2005-01-06 15:20:00,OTHER OFFENSE,TELEPHONE THREAT,RESTAURANT,False,2,41.990413167,-87.70455861399999
2005,1,2005-01-07 13:00:00,THEFT,$500 AND UNDER,STREET,False,2,41.997674376,-87.693152616
2005,1,2005-01-06 07:30:00,THEFT,FROM BUILDING,DEPARTMENT STORE,False,2,41.994993736,-87.689795086
2005,1,2005-01-04 21:50:00,ROBBERY,ARMED: HANDGUN,RESIDENCE-GARAGE,False,2,41.996397604,-87.68617206799999
2005,1,2005-01-06 19:45:00,THEFT,OVER $500,SMALL RETAIL STORE,False,2,42.018434017,-87.690184406
2005,1,2005-01-06 14:10:00,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,2,41.994919627,-87.689792154
2005,1,2005-01-07 22:09:00,ASSAULT,SIMPLE,CURRENCY EXCHANGE,False,2,42.012293397,-87.699714109
2005,1,2005-01-07 18:26:00,THEFT,OVER $500,STREET,False,2,41.988801949,-87.702989108
2005,1,2005-01-03 07:47:02,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),True,2,41.993456258,-87.682365085
2005,1,2005-01-07 08:32:42,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2,41.996757220999996,-87.688633215
2005,1,2005-01-07 10:40:00,THEFT,$500 AND UNDER,"SCHOOL, PUBLIC, BUILDING",True,2,41.987362911999995,-87.70229340200001
2005,1,2005-01-07 20:30:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2,42.009772225,-87.697365825
2005,1,2005-01-03 11:00:00,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,2,41.998742314,-87.677193855
2005,1,2005-01-05 12:00:00,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,2,41.998484978,-87.687464283
2005,1,2005-01-07 08:30:00,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,2,42.000308482,-87.696054694
2005,1,2005-01-08 17:40:00,ROBBERY,STRONGARM - NO WEAPON,PARKING LOT/GARAGE(NON.RESID.),False,2,42.002225812,-87.680277948
2005,1,2005-01-05 13:15:00,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,2,42.012050656,-87.70048189
2005,1,2005-01-08 05:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2,41.998283492,-87.704554719
2005,1,2005-01-07 19:30:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2,41.992283555,-87.689009432
2005,1,2005-01-08 05:02:18,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2,42.002316386,-87.680280701
2005,1,2005-01-08 16:03:08,ASSAULT,SIMPLE,APARTMENT,False,2,42.000262625,-87.70215860399999
2005,1,2005-01-09 12:30:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2,41.985759177,-87.69316901399999
2005,1,2005-01-08 16:50:13,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,True,2,41.99989661,-87.698486926
2005,1,2005-01-08 19:38:31,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,2,41.99258894,-87.67847833799999
2005,1,2005-01-09 21:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2,42.00015585,-87.69971313200001
2005,1,2005-01-08 23:53:51,BATTERY,SIMPLE,OTHER,False,2,41.997676381,-87.693020157
2005,1,2005-01-02 16:00:00,THEFT,OVER $500,STREET,False,2,42.011332261,-87.692180402
2005,1,2005-01-07 19:00:00,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),False,2,41.994367789,-87.70560489299999
2005,1,2005-01-10 18:15:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,2,42.001989214,-87.69975748700001
2005,1,2005-01-03 14:00:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,2,42.01562378,-87.70301134299999
2005,1,2005-01-08 12:00:00,THEFT,$500 AND UNDER,STREET,False,2,41.999942753,-87.703375827
2005,1,2005-01-10 20:30:00,THEFT,$500 AND UNDER,GAS STATION,False,2,41.990446658,-87.698676476
2005,1,2005-01-09 03:10:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,2,41.983148713,-87.693529863
2005,1,2005-01-06 18:30:00,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,True,2,41.985605607,-87.690731939
2005,1,2005-01-10 13:00:00,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,OTHER,False,2,41.989035234,-87.70299416299999
2005,1,2005-01-10 18:41:04,BATTERY,SIMPLE,NURSING HOME/RETIREMENT HOME,False,2,42.003535028,-87.68031974700001
2005,1,2005-01-09 14:46:40,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,False,2,41.994797921,-87.701973488
2005,1,2005-01-09 12:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2,41.992377623,-87.68233561299999
2005,1,2005-01-07 21:08:49,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2,41.994244155,-87.680970207
2005,1,2005-01-10 11:30:00,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,2,41.992610908,-87.682340592
2005,1,2005-01-10 15:00:00,THEFT,OVER $500,SMALL RETAIL STORE,False,2,41.997706005,-87.69144531399999
2005,1,2005-01-10 04:00:00,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESTAURANT,False,2,42.019497342,-87.685540443
2005,1,2005-01-08 14:30:00,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),False,2,42.014509549,-87.692586389
2005,1,2005-01-11 22:00:00,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,2,41.985550726,-87.690732491
2005,1,2005-01-11 21:35:00,THEFT,$500 AND UNDER,STREET,False,2,41.997530411999996,-87.70134315
2005,1,2005-01-11 21:00:00,THEFT,OVER $500,STREET,False,2,41.997511423,-87.702380769
2005,1,2005-01-11 18:20:00,THEFT,RETAIL THEFT,GROCERY FOOD STORE,False,2,41.997706005,-87.69144531399999
2005,1,2005-01-11 05:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2,42.012211619,-87.69338218600001
2005,1,2005-01-11 19:00:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,False,2,41.991204608000004,-87.69333883899999
2005,1,2005-01-12 02:55:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2,42.015048773000004,-87.706752066
2005,1,2005-01-11 23:30:00,THEFT,$500 AND UNDER,STREET,False,2,41.997068574000004,-87.682534285
2005,1,2005-01-04 03:00:00,DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.,STREET,True,2,42.012097594000004,-87.698545915
2005,1,2005-01-12 03:00:00,THEFT,$500 AND UNDER,STREET,False,2,41.985498867,-87.701660779
2005,1,2005-01-10 00:05:00,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,2,41.992639626999996,-87.68111534100001
2005,1,2005-01-12 14:00:00,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,2,41.996570557,-87.691070452
2005,1,2005-01-11 20:00:00,THEFT,$500 AND UNDER,STREET,False,2,42.00016506,-87.703380992
2005,1,2005-01-01 20:00:00,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,2,41.993038339,-87.68270777299999
2005,1,2005-01-04 11:00:00,CRIMINAL DAMAGE,TO PROPERTY,SIDEWALK,False,2,41.990441370999996,-87.69970648799999
2005,1,2005-01-04 10:00:00,CRIMINAL DAMAGE,TO PROPERTY,SIDEWALK,False,2,41.985445057,-87.689505055
2005,1,2005-01-11 22:30:00,ASSAULT,SIMPLE,RESIDENCE,False,2,41.996561183000004,-87.70324363299999
2005,1,2005-01-12 22:00:00,THEFT,$500 AND UNDER,STREET,False,2,41.997402535,-87.70856228
2005,1,2005-01-11 16:00:00,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,2,42.00529152,-87.69007764
2005,1,2005-01-13 04:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2,41.997678406999995,-87.69289137700001
2005,1,2005-01-12 19:00:00,ASSAULT,SIMPLE,APARTMENT,False,2,41.994921027,-87.688574495
2005,1,2005-01-12 18:45:00,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,APARTMENT,False,2,41.992243144,-87.682333304
2005,1,2005-01-12 08:30:00,BATTERY,SIMPLE,NURSING HOME/RETIREMENT HOME,False,2,42.003535028,-87.68031974700001
2005,1,2005-01-12 10:00:00,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,NURSING HOME/RETIREMENT HOME,True,2,42.003535028,-87.68031974700001
2005,1,2005-01-12 09:50:00,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,STREET,False,2,42.001657124,-87.699749744
2005,1,2005-01-13 19:00:00,THEFT,$500 AND UNDER,STREET,False,2,41.99765761,-87.694083531
2005,1,2005-01-13 00:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2,41.997383899,-87.70967714700001
2005,1,2005-01-11 23:55:00,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,2,41.996328543000004,-87.698375239
2005,1,2005-01-13 18:00:00,THEFT,$500 AND UNDER,STREET,False,2,41.985854023,-87.689519325
2005,1,2005-01-13 13:55:00,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,2,41.996308671,-87.70323508799999
2005,1,2005-01-12 19:30:00,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,False,2,41.990453376,-87.697411029
2005,1,2005-01-10 12:30:00,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,CAR WASH,False,2,41.985415685,-87.69901701799999
2005,1,2005-01-13 09:37:57,ASSAULT,SIMPLE,SMALL RETAIL STORE,False,2,41.990687601,-87.67902752200001
2005,1,2005-01-13 08:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2,41.995045512,-87.682429821
2005,1,2005-01-13 00:45:24,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,2,41.987753261,-87.69201612799999
2005,1,2005-01-13 23:20:00,CRIMINAL DAMAGE,TO PROPERTY,HOTEL/MOTEL,False,2,41.98838774,-87.70401944299999
2005,1,2005-01-09 17:00:00,BATTERY,SIMPLE,NURSING HOME/RETIREMENT HOME,False,2,42.003535028,-87.68031974700001
2005,1,2005-01-13 21:30:00,BATTERY,SIMPLE,APARTMENT,False,2,41.985979177,-87.701674421
2005,1,2005-01-13 13:15:00,THEFT,$500 AND UNDER,STREET,False,2,42.003801222,-87.69004114299999
2005,1,2005-01-14 16:09:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,2,41.994717899,-87.69101182799999
2005,1,2005-01-15 00:10:54,BATTERY,SIMPLE,GAS STATION,False,2,42.005255827,-87.69007432
2005,1,2005-01-13 14:00:00,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,2,42.006824603000005,-87.690893734
2005,1,2005-01-14 22:29:33,CRIMINAL DAMAGE,TO PROPERTY,OTHER,False,2,41.997592544,-87.69768576700001
2005,1,2005-01-14 11:45:13,BATTERY,SIMPLE,STREET,False,2,41.985155264,-87.698570872
2005,1,2005-01-14 12:15:00,THEFT,$500 AND UNDER,STREET,False,2,41.996712994,-87.695947095
2005,1,2005-01-14 09:30:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2,41.993593501,-87.68237104399999
2005,1,2005-01-15 14:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2,41.998500055,-87.688681844
2005,1,2005-01-14 17:40:00,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,2,42.002225812,-87.680277948
2005,1,2005-01-14 10:10:00,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,2,41.991226168000004,-87.698208923
2005,1,2005-01-14 19:00:00,THEFT,$500 AND UNDER,STREET,False,2,41.995366855,-87.684902319
2005,1,2005-01-13 20:30:00,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,2,42.002225812,-87.680277948
2005,1,2005-01-15 17:27:18,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,False,2,42.003535028,-87.68031974700001
2005,1,2005-01-15 15:00:00,THEFT,$500 AND UNDER,OTHER,False,2,41.998100567,-87.694781762
2005,1,2005-01-14 00:36:49,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,True,2,41.996791493,-87.68985055
2005,1,2005-01-15 14:26:08,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT/GARAGE(NON.RESID.),False,2,42.019497342,-87.685540443
2005,1,2005-01-16 04:33:09,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2,42.002316386,-87.680280701
2005,1,2005-01-15 21:30:00,THEFT,$500 AND UNDER,STREET,False,2,42.016477551,-87.705575183
2005,1,2005-01-16 10:30:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2,42.003814365,-87.699805605
2005,1,2005-01-15 21:30:00,THEFT,OVER $500,STREET,False,2,42.007142825,-87.70928012799999
2005,1,2005-01-15 20:05:00,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP,STREET,False,2,41.989063594,-87.695707073
2005,1,2005-01-16 10:15:00,BURGLARY,ATTEMPT FORCIBLE ENTRY,APARTMENT,False,2,41.985531497,-87.690729006
2005,1,2005-01-14 20:40:00,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,False,2,41.996916402,-87.68425383600001
2005,1,2005-01-14 16:30:29,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,False,2,42.002202445,-87.681477575
2005,1,2005-01-17 00:30:24,ROBBERY,ARMED: HANDGUN,SIDEWALK,False,2,41.998390273000005,-87.68867927299999
2005,1,2005-01-15 19:42:51,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,2,42.002225812,-87.680277948
2005,1,2005-01-16 07:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2,41.985513446,-87.694377907
2005,1,2005-01-16 18:00:00,THEFT,OVER $500,STREET,False,2,41.99818307,-87.689899071
2005,1,2005-01-16 15:00:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,2,41.996323135,-87.70688060399999
2005,1,2005-01-17 15:00:00,THEFT,$500 AND UNDER,ALLEY,False,2,41.999636529,-87.68436599299999
2005,1,2005-01-17 10:00:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,2,42.005384054000004,-87.709326751
2005,1,2005-01-17 08:00:00,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,False,2,41.999885929,-87.707033287
2005,1,2005-01-17 16:00:00,THEFT,OVER $500,STREET,False,2,42.011727531,-87.690237255
2005,1,2005-01-17 20:30:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2,42.001231364,-87.697690021
2005,1,2005-01-17 22:00:00,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,False,2,41.984973944000004,-87.692606773
2005,1,2005-01-16 19:30:00,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,2,42.004624869000004,-87.679907565
2005,1,2005-01-16 13:08:07,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,2,41.993104675,-87.678929195
2005,1,2005-01-14 01:14:45,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2,42.018037731999996,-87.69489882299999
2005,1,2005-01-17 21:24:29,BATTERY,SIMPLE,RESTAURANT,True,2,41.997800745,-87.685837792
2005,1,2005-01-17 21:40:00,ASSAULT,SIMPLE,STREET,False,2,41.998339537,-87.68503033299999
2005,1,2005-01-17 05:42:04,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2,42.013062675,-87.69591267
2005,1,2005-01-17 22:58:00,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),False,2,42.012198435,-87.693971068
2005,1,2005-01-18 07:50:00,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,2,42.006390699,-87.683039015
2005,1,2005-01-16 14:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2,42.000323277,-87.69971882899999
2005,1,2005-01-18 14:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2,41.998513747,-87.69112449
2005,1,2005-01-18 09:30:00,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,2,41.989216164,-87.69206029700001
2005,1,2005-01-18 13:00:00,THEFT,ATTEMPT FINANCIAL IDENTITY THEFT,RESIDENCE,False,2,42.018298161,-87.705295994
2005,1,2005-01-18 20:00:00,THEFT,ATTEMPT FINANCIAL IDENTITY THEFT,RESIDENCE,False,2,42.018298161,-87.705295994
2005,1,2005-01-18 19:40:00,THEFT,$500 AND UNDER,STREET,False,2,41.990413167,-87.70455861399999
2005,1,2005-01-18 19:45:00,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,False,2,41.991233342,-87.69455612700001
2005,1,2005-01-17 19:48:53,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2,41.992982985,-87.69582981200001
2005,1,2005-01-18 06:20:00,THEFT,$500 AND UNDER,GAS STATION,False,2,41.99094269,-87.68968507700001
2005,1,2005-01-18 23:00:00,THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,False,2,42.015205329000004,-87.697296979
2005,1,2005-01-12 10:00:00,THEFT,OVER $500,CONSTRUCTION SITE,False,2,42.018807426,-87.699594245
2005,1,2005-01-17 20:45:00,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,True,2,41.997973181999996,-87.67610177700001
2005,1,2005-01-04 17:30:00,CRIMINAL TRESPASS,TO STATE SUP LAND,"SCHOOL, PUBLIC, BUILDING",False,2,41.987362911999995,-87.70229340200001
2005,1,2005-01-14 20:30:00,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,True,2,42.007312997,-87.682599132
2005,1,2005-01-18 16:23:49,CRIMINAL DAMAGE,TO PROPERTY,PARK PROPERTY,False,2,41.989035234,-87.70299416299999
2005,1,2005-01-18 20:30:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2,41.984974614,-87.69223527700001
2005,1,2005-01-18 21:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2,41.993281593,-87.709220588
2005,1,2005-01-19 03:00:00,THEFT,OVER $500,STREET,False,2,41.99784988,-87.682879495
2005,1,2005-01-19 15:00:00,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,False,2,41.998657826999995,-87.682599028
2005,1,2005-01-19 00:01:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2,41.988629174,-87.690146104
2005,1,2005-01-19 06:45:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2,41.992476429,-87.682338284
2005,1,2005-01-06 21:10:00,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,True,2,41.99094269,-87.68968507700001
2005,1,2005-01-19 11:35:00,BURGLARY,ATTEMPT FORCIBLE ENTRY,SMALL RETAIL STORE,False,2,42.013127089,-87.690241555
2005,1,2005-01-19 17:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2,41.997678160999996,-87.692847234
2005,1,2005-01-19 19:40:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2,41.99617768,-87.706878352
2005,1,2005-01-07 18:45:00,DECEPTIVE PRACTICE,BOGUS CHECK,CURRENCY EXCHANGE,False,2,41.997723659,-87.690186971
2005,1,2005-01-20 18:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2,41.997402815,-87.708613781
