Year,Month,Date,Primary Type,Description,Location Description,Arrest,Community Area,Latitude,Longitude
2005,1,2005-01-01 01:00:00,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,False,39,41.807343081999996,-87.599222706
2005,1,2005-01-01 11:25:00,ASSAULT,SIMPLE,NURSING HOME/RETIREMENT HOME,False,39,41.812713636,-87.603963101
2005,1,2005-01-01 00:00:00,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,39,41.811393188000004,-87.603028028
2005,1,2005-01-02 01:30:00,THEFT,OVER $500,STREET,False,39,41.811419728000004,-87.600731459
2005,1,2005-01-01 00:25:00,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,OTHER,True,39,41.810817084,-87.603922258
2005,1,2005-01-01 00:10:00,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,True,39,41.808781869,-87.60278992399999
2005,1,2005-01-01 00:00:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,39,41.809621907,-87.59853277
2005,1,2005-01-01 16:00:00,THEFT,FROM BUILDING,RESIDENCE,False,39,41.805341530999996,-87.60380831399999
2005,1,2005-01-01 15:30:00,CRIMINAL TRESPASS,TO VEHICLE,VEHICLE NON-COMMERCIAL,True,39,41.805228564000004,-87.595146239
2005,1,2005-01-02 18:00:00,CRIMINAL DAMAGE,TO VEHICLE,OTHER,False,39,41.802497699,-87.58618451
2005,1,2005-01-03 02:10:00,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,False,39,41.816235311999996,-87.60451743
2005,1,2005-01-02 14:35:00,CRIMINAL DAMAGE,TO PROPERTY,OTHER,False,39,41.811419728000004,-87.600731459
2005,1,2005-01-04 22:00:00,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,39,41.802321549,-87.600589375
2005,1,2005-01-05 14:31:19,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,39,41.813272151999996,-87.597731719
2005,1,2005-01-06 08:00:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,39,41.804216714,-87.593562384
2005,1,2005-01-05 16:30:00,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,SIDEWALK,False,39,41.812713636,-87.603963101
2005,1,2005-01-06 04:55:00,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,39,41.814133279,-87.599357934
2005,1,2005-01-06 15:50:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,39,41.805211965,-87.58578986200001
2005,1,2005-01-04 19:25:00,WEAPONS VIOLATION,POSS FIREARM/AMMO:NO FOID CARD,APARTMENT,True,39,41.810707298000004,-87.603919835
2005,1,2005-01-05 14:00:00,BATTERY,AGG PO HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",False,39,41.803667488,-87.590528166
2005,1,2005-01-05 17:30:00,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,39,41.812799401999996,-87.59933281200001
2005,1,2005-01-06 11:10:00,CRIMINAL TRESPASS,TO LAND,RESIDENCE,True,39,41.809623853000005,-87.598408034
2005,1,2005-01-06 17:30:00,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,False,39,41.808740971999995,-87.596815207
2005,1,2005-01-06 17:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,39,41.803417249,-87.585796054
2005,1,2005-01-06 16:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,39,41.816441535,-87.599408615
2005,1,2005-01-07 06:15:00,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,CHA APARTMENT,True,39,41.804996145,-87.606467715
2005,1,2005-01-07 14:30:00,THEFT,OVER $500,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,False,39,41.810860761,-87.601728223
2005,1,2005-01-07 18:10:00,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,39,41.815864769,-87.60450695700001
2005,1,2005-01-07 22:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,39,41.808956902,-87.599251965
2005,1,2005-01-08 23:35:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,39,41.812505323,-87.60443499600001
2005,1,2005-01-05 17:45:00,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,39,41.813247100000005,-87.60025210200001
2005,1,2005-01-06 10:00:00,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",False,39,41.803667488,-87.590528166
2005,1,2005-01-07 13:50:00,BATTERY,SIMPLE,SIDEWALK,False,39,41.816229267,-87.60183954200001
2005,1,2005-01-07 23:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,True,39,41.804379671999996,-87.584827582
2005,1,2005-01-09 19:00:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,39,41.806448244,-87.58726464700001
2005,1,2005-01-08 12:30:00,THEFT,OVER $500,STREET,False,39,41.810460567,-87.604392152
2005,1,2005-01-08 01:00:00,THEFT,OVER $500,STREET,False,39,41.815057847,-87.601038494
2005,1,2005-01-05 10:00:00,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",True,39,41.803667488,-87.590528166
2005,1,2005-01-10 12:30:00,THEFT,OVER $500,STREET,False,39,41.815032717,-87.60312608
2005,1,2005-01-06 17:00:00,THEFT,$500 AND UNDER,STREET,False,39,41.804379051,-87.584732228
2005,1,2005-01-10 19:00:00,INTIMIDATION,INTIMIDATION,RESIDENCE,False,39,41.803167731,-87.60375595200001
2005,1,2005-01-10 23:45:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,39,41.808787621,-87.59681467200001
2005,1,2005-01-11 16:00:00,CRIMINAL DAMAGE,TO VEHICLE,OTHER,False,39,41.809297059,-87.591967028
2005,1,2005-01-03 19:05:00,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,True,39,41.814317008,-87.60667414299999
2005,1,2005-01-09 16:00:00,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,39,41.808568072,-87.596813519
2005,1,2005-01-04 18:15:00,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,39,41.814162810999996,-87.60399434700001
2005,1,2005-01-07 15:40:00,BATTERY,SIMPLE,OTHER,False,39,41.805309638000004,-87.58899806
2005,1,2005-01-09 05:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,39,41.81410035,-87.59935831
2005,1,2005-01-11 23:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,39,41.815029374,-87.603463608
2005,1,2005-01-10 14:40:00,BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",False,39,41.805078225,-87.590555884
2005,1,2005-01-07 15:00:00,THEFT,OVER $500,CONSTRUCTION SITE,False,39,41.810420674,-87.59684731899999
2005,1,2005-01-11 17:00:00,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,39,41.804115983,-87.58647746700001
2005,1,2005-01-10 08:10:00,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,RESIDENCE,False,39,41.803413430999996,-87.58605283700001
2005,1,2005-01-12 12:00:00,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, GROUNDS",False,39,41.805078225,-87.590555884
2005,1,2005-01-13 00:00:00,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,False,39,41.815007083000005,-87.60557317
2005,1,2005-01-12 14:50:00,THEFT,RETAIL THEFT,GROCERY FOOD STORE,False,39,41.809669669,-87.594427666
2005,1,2005-01-12 11:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,39,41.81410035,-87.59935831
2005,1,2005-01-09 20:40:00,BATTERY,SIMPLE,RESIDENCE,False,39,41.809297059,-87.591967028
2005,1,2005-01-12 13:00:00,THEFT,OVER $500,ATHLETIC CLUB,False,39,41.810812825999996,-87.589139767
2005,1,2005-01-12 22:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,False,39,41.802294316,-87.603208379
2005,1,2005-01-11 07:00:00,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,False,39,41.814067396999995,-87.59935501700001
2005,1,2005-01-12 10:30:00,ASSAULT,SIMPLE,RESIDENCE,False,39,41.812244589,-87.604430616
2005,1,2005-01-13 06:30:00,THEFT,$500 AND UNDER,STREET,False,39,41.805234283000004,-87.60161618299999
2005,1,2005-01-13 21:00:00,THEFT,$500 AND UNDER,STREET,False,39,41.81144941,-87.59807537299999
2005,1,2005-01-12 19:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,True,39,41.814232089,-87.599360474
2005,1,2005-01-13 07:55:00,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,False,39,41.814162810999996,-87.60399434700001
2005,1,2005-01-13 07:50:00,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,STREET,True,39,41.814162810999996,-87.60399434700001
2005,1,2005-01-13 14:10:00,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,RESIDENCE,False,39,41.810453067,-87.593347577
2005,1,2005-01-13 07:45:00,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,True,39,41.814162810999996,-87.60399434700001
2005,1,2005-01-11 17:00:00,BATTERY,SIMPLE,RESIDENCE,False,39,41.809297059,-87.591967028
2005,1,2005-01-05 16:45:00,BATTERY,SIMPLE,STREET,True,39,41.813181387,-87.605887299
2005,1,2005-01-12 18:30:00,BATTERY,SIMPLE,APARTMENT,False,39,41.810820887,-87.593787187
2005,1,2005-01-14 01:40:00,BATTERY,AGG PO HANDS NO/MIN INJURY,PARKING LOT/GARAGE(NON.RESID.),True,39,41.806890268000004,-87.589834384
2005,1,2005-01-13 16:05:00,BATTERY,SIMPLE,SIDEWALK,True,39,41.813181387,-87.605887299
2005,1,2005-01-12 18:20:00,BATTERY,SIMPLE,"SCHOOL, PRIVATE, GROUNDS",True,39,41.811443713,-87.59847159899999
2005,1,2005-01-14 02:05:00,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,True,39,41.810707298000004,-87.603919835
2005,1,2005-01-14 15:00:00,THEFT,ATTEMPT THEFT,STREET,False,39,41.807786533000005,-87.60033636899999
2005,1,2005-01-15 08:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,39,41.803799227,-87.59053031200001
2005,1,2005-01-15 16:30:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,39,41.80533715,-87.589008745
2005,1,2005-01-13 17:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,39,41.805322323,-87.603808532
2005,1,2005-01-12 15:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,True,39,41.803042814,-87.58645325299999
2005,1,2005-01-15 08:30:00,ASSAULT,SIMPLE,RESIDENCE,False,39,41.814067396999995,-87.59935501700001
2005,1,2005-01-14 22:00:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,39,41.814179549,-87.59544331200001
2005,1,2005-01-15 10:20:00,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,True,39,41.802374656,-87.596022555
2005,1,2005-01-15 12:00:00,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,False,39,41.816455303000005,-87.598557379
2005,1,2005-01-14 22:00:00,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,39,41.810729022,-87.601726053
2005,1,2005-01-16 16:00:00,ASSAULT,SIMPLE,RESIDENCE,False,39,41.803167731,-87.60375595200001
2005,1,2005-01-16 12:00:00,THEFT,$500 AND UNDER,STREET,False,39,41.806061249,-87.59106903200001
2005,1,2005-01-14 20:00:00,CRIMINAL TRESPASS,TO LAND,APARTMENT,True,39,41.807067906,-87.60384374700001
2005,1,2005-01-14 20:05:00,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,True,39,41.805322323,-87.603808532
2005,1,2005-01-01 00:00:00,THEFT,FROM BUILDING,RESIDENCE,False,39,41.803653573000005,-87.60377244700001
2005,1,2005-01-12 04:30:00,THEFT,OVER $500,STREET,False,39,41.80226991,-87.605416574
2005,1,2005-01-16 15:15:00,ASSAULT,SIMPLE,DEPARTMENT STORE,False,39,41.814317008,-87.60667414299999
2005,1,2005-01-16 19:20:00,CRIMINAL TRESPASS,TO LAND,RESIDENCE,False,39,41.810729022,-87.601726053
2005,1,2005-01-16 20:52:51,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,39,41.805078225,-87.590555884
2005,1,2005-01-14 16:30:00,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",False,39,41.814563821,-87.604481355
2005,1,2005-01-11 17:00:00,THEFT,$500 AND UNDER,STREET,False,39,41.804115983,-87.58647746700001
2005,1,2005-01-17 06:00:00,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,39,41.803741601999995,-87.59053097700001
2005,1,2005-01-17 16:30:00,THEFT,ATTEMPT THEFT,DRUG STORE,False,39,41.809670667,-87.594156219
2005,1,2005-01-17 18:50:00,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,39,41.814317008,-87.60667414299999
2005,1,2005-01-16 09:00:00,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,39,41.810707298000004,-87.603919835
2005,1,2005-01-17 22:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,39,41.815042028,-87.602432653
2005,1,2005-01-18 23:00:00,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENCE,False,39,41.803318702,-87.603761575
2005,1,2005-01-14 04:30:00,OTHER OFFENSE,TELEPHONE THREAT,"SCHOOL, PUBLIC, BUILDING",False,39,41.803667488,-87.590528166
2005,1,2005-01-14 00:00:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,39,41.807499342,-87.59023448200001
2005,1,2005-01-16 23:45:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,39,41.805341530999996,-87.60380831399999
2005,1,2005-01-17 00:00:00,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,39,41.8107529,-87.59601818600001
2005,1,2005-01-17 08:30:00,OTHER OFFENSE,TELEPHONE THREAT,OTHER,False,39,41.814563821,-87.604481355
2005,1,2005-01-18 10:30:00,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,39,41.816048668,-87.60451220899999
2005,1,2005-01-18 22:30:00,BURGLARY,ATTEMPT FORCIBLE ENTRY,APARTMENT,False,39,41.803741601999995,-87.59053097700001
2005,1,2005-01-18 18:15:00,BATTERY,SIMPLE,SIDEWALK,False,39,41.809540554,-87.606016525
2005,1,2005-01-12 12:20:00,THEFT,OVER $500,STREET,False,39,41.809603298,-87.60034500200001
2005,1,2005-01-17 15:00:00,THEFT,$500 AND UNDER,ALLEY,False,39,41.812529737,-87.603957851
2005,1,2005-01-18 18:23:00,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,True,39,41.809540554,-87.606016525
2005,1,2005-01-19 13:45:00,THEFT,FROM BUILDING,CONSTRUCTION SITE,False,39,41.812147169,-87.59391132200001
2005,1,2005-01-19 23:40:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,39,41.810729022,-87.601726053
2005,1,2005-01-19 22:00:00,ASSAULT,SIMPLE,APARTMENT,False,39,41.812244589,-87.604430616
2005,1,2005-01-18 15:00:00,THEFT,FROM BUILDING,CONSTRUCTION SITE,False,39,41.81035919,-87.606583156
2005,1,2005-01-02 14:30:00,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",False,39,41.803667488,-87.590528166
2005,1,2005-01-19 09:20:00,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",True,39,41.803667488,-87.590528166
2005,1,2005-01-20 14:00:00,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",False,39,41.803667488,-87.590528166
2005,1,2005-01-21 11:00:00,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",False,39,41.815924879,-87.60403305
2005,1,2005-01-19 15:45:00,BATTERY,SIMPLE,RESIDENCE,False,39,41.816391488,-87.604046098
2005,1,2005-01-21 16:40:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,39,41.807275949,-87.595170419
2005,1,2005-01-21 16:30:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,39,41.807163442,-87.59517171
2005,1,2005-01-21 16:30:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,39,41.806960333,-87.595166706
2005,1,2005-01-22 09:30:00,THEFT,$500 AND UNDER,STREET,False,39,41.806922487,-87.593549596
2005,1,2005-01-22 08:30:00,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,39,41.804379361,-87.584779905
2005,1,2005-01-19 18:00:00,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,39,41.805679494,-87.58425861
2005,1,2005-01-20 02:00:00,THEFT,OVER $500,STREET,False,39,41.816012995,-87.604512613
2005,1,2005-01-21 00:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,39,41.803413430999996,-87.58605283700001
2005,1,2005-01-21 22:30:00,BATTERY,SIMPLE,APARTMENT,False,39,41.810729022,-87.601726053
2005,1,2005-01-22 11:50:00,THEFT,$500 AND UNDER,STREET,False,39,41.812275024,-87.59544316200001
2005,1,2005-01-22 23:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,39,41.805322323,-87.603808532
2005,1,2005-01-22 13:00:00,BATTERY,SIMPLE,RESIDENCE,False,39,41.810729022,-87.601726053
2005,1,2005-01-22 19:20:00,ASSAULT,SIMPLE,APARTMENT,False,39,41.813260172,-87.598861681
2005,1,2005-01-23 05:05:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,39,41.81584556,-87.604507175
2005,1,2005-01-16 16:00:00,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,ALLEY,False,39,41.803474875999996,-87.58369012200001
2005,1,2005-01-23 15:00:00,THEFT,OVER $500,STREET,False,39,41.810817084,-87.603922258
2005,1,2005-01-22 00:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,39,41.812373977,-87.599322996
2005,1,2005-01-21 15:25:00,ROBBERY,STRONGARM - NO WEAPON,STREET,False,39,41.812476406,-87.596889797
2005,1,2005-01-22 19:20:00,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,False,39,41.810453067,-87.593347577
2005,1,2005-01-22 23:00:00,ASSAULT,SIMPLE,RESIDENCE,False,39,41.804996145,-87.606467715
2005,1,2005-01-24 00:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,39,41.814070586,-87.59813710200001
2005,1,2005-01-24 09:00:00,THEFT,OVER $500,STREET,False,39,41.805988915,-87.59817082200001
2005,1,2005-01-24 17:45:00,ASSAULT,SIMPLE,SMALL RETAIL STORE,False,39,41.809672891999995,-87.594075496
2005,1,2005-01-03 00:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,39,41.814133279,-87.599357934
2005,1,2005-01-21 12:55:00,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,39,41.814162810999996,-87.60399434700001
2005,1,2005-01-15 12:15:00,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,39,41.803667488,-87.590528166
2005,1,2005-01-10 13:00:00,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,39,41.814563821,-87.604481355
2005,1,2005-01-23 20:00:00,THEFT,FROM BUILDING,APARTMENT,False,39,41.812412001,-87.604432386
2005,1,2005-01-25 10:00:00,BURGLARY,ATTEMPT FORCIBLE ENTRY,APARTMENT,False,39,41.808753816999996,-87.599250616
2005,1,2005-01-25 10:05:00,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",False,39,41.803667488,-87.590528166
2005,1,2005-01-15 15:30:00,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",False,39,41.803667488,-87.590528166
2005,1,2005-01-25 07:05:00,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",False,39,41.814162810999996,-87.60399434700001
2005,1,2005-01-22 12:00:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,39,41.802875804,-87.596713667
2005,1,2005-01-26 21:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,39,41.80694172,-87.59355304200001
2005,1,2005-01-27 03:00:00,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,39,41.812244589,-87.604430616
2005,1,2005-01-26 15:00:00,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE PORCH/HALLWAY,False,39,41.802296431,-87.60310932899999
2005,1,2005-01-20 17:45:00,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,39,41.809669669,-87.594427666
2005,1,2005-01-24 20:45:00,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,39,41.816142361,-87.59940102600001
2005,1,2005-01-25 13:00:00,THEFT,OVER $500,STREET,False,39,41.813213163,-87.603110065
2005,1,2005-01-24 20:00:00,THEFT,$500 AND UNDER,STREET,False,39,41.807293008,-87.59355633700001
