Year,Month,Date,Primary Type,Description,Location Description,Arrest,Community Area,Latitude,Longitude
2019,1,2019-01-08 11:40:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,43,,
2019,1,2019-01-31 15:00:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,43,41.772387175,-87.589954366
2019,1,2019-01-21 17:00:00,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,False,43,41.773065672,-87.569966992
2019,1,2019-01-01 00:01:00,CRIM SEXUAL ASSAULT,PREDATORY,OTHER,False,43,41.754616453000004,-87.56144115200001
2019,1,2019-01-26 21:00:00,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,True,43,41.771002775999996,-87.582583655
2019,1,2019-01-01 00:00:00,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,APARTMENT,False,43,41.75836602,-87.55627603200001
2019,1,2019-01-01 12:15:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,43,41.755480451,-87.55689357
2019,1,2019-01-01 00:00:00,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,43,41.754509295,-87.56264819200001
2019,1,2019-01-10 00:00:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,False,43,41.773381812,-87.582123326
2019,1,2019-01-25 11:45:00,NARCOTICS,MANU/DELIVER:CRACK,RESIDENCE PORCH/HALLWAY,True,43,41.76494313,-87.576272654
2019,1,2019-01-26 09:40:00,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,APARTMENT,True,43,41.767133621999996,-87.56930785899999
2019,1,2019-01-01 19:00:00,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,43,41.772626204,-87.57280597799999
2019,1,2019-01-25 10:45:00,THEFT,$500 AND UNDER,SIDEWALK,False,43,41.766809722,-87.57509604100001
2019,1,2019-01-25 11:50:00,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,True,43,41.766102387,-87.573539169
2019,1,2019-01-31 11:45:00,HOMICIDE,FIRST DEGREE MURDER,HOUSE,True,43,41.767852431,-87.58892534700001
2019,1,2019-01-05 09:15:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,43,41.772843454000004,-87.568327278
2019,1,2019-01-22 16:00:00,ROBBERY,ARMED: HANDGUN,STREET,False,43,41.772505586,-87.57158298
2019,1,2019-01-01 00:30:00,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,43,41.760623978000005,-87.58260201799999
2019,1,2019-01-01 00:01:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,43,41.75836602,-87.55627603200001
2019,1,2019-01-01 02:32:00,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,True,43,41.773007423,-87.57526133799999
2019,1,2019-01-01 02:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,43,41.769074314,-87.57393299299999
2019,1,2019-01-01 04:15:00,BATTERY,SIMPLE,APARTMENT,True,43,41.752829334,-87.565039426
2019,1,2019-01-01 09:00:00,THEFT,OVER $500,APARTMENT,False,43,41.768941644,-87.58129902
