Year,Month,Date,Primary Type,Description,Location Description,Arrest,Community Area,Latitude,Longitude
2017,1,2017-01-01 00:01:00,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,APARTMENT,False,14,,
2017,1,2017-01-25 07:30:00,THEFT,OVER $500,ALLEY,False,14,,
2017,1,2017-01-01 00:01:00,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,APARTMENT,False,14,,
2017,1,2017-01-24 23:30:00,THEFT,$500 AND UNDER,SIDEWALK,False,14,41.97070461,-87.728099622
2017,1,2017-01-01 04:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,14,41.964663879,-87.72174787899999
2017,1,2017-01-01 03:45:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,14,41.967412455,-87.704773815
2017,1,2017-01-01 00:30:00,BATTERY,SIMPLE,TAXICAB,False,14,41.966564772,-87.71493082100001
2017,1,2017-01-01 02:59:00,BURGLARY,FORCIBLE ENTRY,RESTAURANT,True,14,41.968999706,-87.708494241
2017,1,2017-01-01 01:34:00,BATTERY,SIMPLE,APARTMENT,False,14,41.965578898000004,-87.70922262200001
2017,1,2017-01-01 01:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,14,41.97077465,-87.70487314299999
2017,1,2017-01-01 03:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,14,41.963632682,-87.70710166799999
2017,1,2017-01-01 17:00:00,THEFT,FROM BUILDING,SMALL RETAIL STORE,False,14,41.965404069,-87.736202402
2017,1,2017-01-01 17:50:00,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,14,41.966654343,-87.705145296
2017,1,2017-01-01 03:30:00,ROBBERY,ARMED: HANDGUN,STREET,False,14,41.973539384,-87.74232293700001
2017,1,2017-01-02 10:35:00,BATTERY,SIMPLE,OTHER,True,14,41.967011098,-87.715768556
2017,1,2017-01-01 20:00:00,THEFT,$500 AND UNDER,STREET,False,14,41.972864141,-87.70860356899999
2017,1,2017-01-01 21:30:00,THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,False,14,41.963568697,-87.711992549
2017,1,2017-01-02 02:30:00,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENTIAL YARD (FRONT/BACK),False,14,41.96196859,-87.718063771
2017,1,2017-01-02 21:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,14,41.970100566999996,-87.72492451
2017,1,2017-01-02 22:30:00,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,False,14,41.968338341999996,-87.719171817
2017,1,2017-01-02 10:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,14,41.969210091,-87.71338654899999
2017,1,2017-01-01 23:00:00,THEFT,OVER $500,NURSING HOME/RETIREMENT HOME,True,14,41.975548007,-87.72651654
2017,1,2017-01-03 10:30:00,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,14,41.972797804,-87.71104234200001
2017,1,2017-01-03 13:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,14,41.961778439,-87.708263303
2017,1,2017-01-03 21:12:00,ROBBERY,ARMED: HANDGUN,STREET,False,14,41.967325011999996,-87.71088601299999
2017,1,2017-01-03 21:05:00,NARCOTICS,MANU/DELIVER:CRACK,STREET,True,14,41.968223599,-87.729616031
2017,1,2017-01-04 02:30:00,ASSAULT,SIMPLE,STREET,False,14,41.972629241,-87.70981573
