Year,Month,Date,Primary Type,Description,Location Description,Arrest,Community Area,Latitude,Longitude
2013,1,2013-01-03 10:00:00,THEFT,OVER $500,STREET,False,62,41.79798374,-87.723294914
2013,1,2013-01-07 14:00:00,ASSAULT,SIMPLE,APARTMENT,False,62,41.786035399,-87.71666876100001
2013,1,2013-01-01 05:00:00,THEFT,$500 AND UNDER,STREET,False,62,41.789424331999996,-87.718154385
2013,1,2013-01-01 13:00:00,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,False,62,41.793271280999996,-87.71856499200001
2013,1,2013-01-02 12:00:00,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,RESIDENCE,False,62,41.791534766,-87.71408213299999
2013,1,2013-01-02 16:54:00,STALKING,VIOLATION OF STALKING NO CONTACT ORDER,RESIDENCE,True,62,41.788630653,-87.72681945299999
2013,1,2013-01-03 01:15:00,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA PLATFORM,True,62,41.785519673,-87.738567526
2013,1,2013-01-03 23:05:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,62,41.796400258,-87.717119507
2013,1,2013-01-04 09:40:00,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,True,62,41.791461692,-87.718871979
2013,1,2013-01-04 18:50:00,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,62,41.79798374,-87.723294914
2013,1,2013-01-03 08:10:00,THEFT,PURSE-SNATCHING,STREET,False,62,41.793287145,-87.71742802799999
2013,1,2013-01-04 13:35:00,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,62,41.795187048,-87.714013972
2013,1,2013-01-04 20:30:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,62,41.794246133,-87.72073765399999
2013,1,2013-01-03 14:00:00,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,62,41.790406001,-87.730429352
